Org Code,Action,Register Number,Award Number,Institution,City,State,Zip Code,Principal Investigator,Total Funding Planned,Total Funding to Date,Project Start Date,Project End Date,Most Recent Award Date,Title,Award Type,Program Manager,Institution Type
SC-21.1,New,ER26065,DE-SC0007344,GEORGIA TECH RESEARCH CORP                        ,Atlanta,GA,30332-0420,"Dovrolis, Constantinos",439450,293486,1/15/12,1/14/15,1/24/12,Advanced Performance Modeling with Combined Passive and Active Monitoring,Grant,"Carlson, Richard",Educational
SC-21.1,New,ER26066,DE-SC0007342,TENNESSEE UNIVERSITY OF KNOXVILLE                ,Knoxville,TN,37996-1529,"Bosilca, George",450000,150000,1/15/12,1/14/15,12/13/11,An Adaptive End-to-End Approach for Terabit Data Movement Optimization,Grant,"Ndousse-Fetter, Thomas",Educational
SC-21.1,New,ER26067,DE-SC0007340,RAYTHEON BBN TECHNOLOGIES CORPORATION             ,Cambridge ,MA,02318-1119,"Santivanez, Cesar",504830,504830,1/15/12,1/14/14,1/20/12,P11215-BBN A Framework for Supporting Survivability Network Planning and Cross-Layer Optimization in Future Multi-Domain Terabit Networks,Grant,"Carlson, Richard",Small Business
SC-21.1,New,ER26068,DE-SC0007425,NORTH CAROLINA UNIVERSITY OF AT CHAPEL HILL      ,Chapel Hill,NC,27599-1350,"Baldine, Ilia",378663,378663,1/15/12,1/14/14,1/24/12,A Framework for Supporting Survivability Network Planning and Cross-Layer Optimization in Future Multi-Domain Terabit Networks,Grant,"Carlson, Richard",Educational
SC-21.1,New,ER26069,DE-SC0007346,CALIFORNIA INST. OF TECHNOLOGY                    ,Pasadena,CA,91125,"Newman, Harvey",349600,349600,1/15/12,1/14/14,12/16/11,OliMPS:  OpenFlow Link-Layer MultiPath Switching,Grant,"Ndousse-Fetter, Thomas",Educational
SC-21.1,New,ER26070,DE-SC0007440,KITWARE INC.                                     ,Clifton Park,NY,12065-8688,"Geveci, Berk",1250000,500000,2/15/12,2/14/17,3/1/12,Scalable Data Management Analysis and Visualization (SDAV) Institute,Cooperative Agreement,"Nowell, Lucille",Small Business
SC-21.1,New,ER26071,DE-SC0007446,UTAH UNIVERSITY OF                               ,Salt Lake City,UT,84112-8930,"Pascucci, Valerio",2250000,900000,2/15/12,2/14/17,1/27/12,Scalable Data Management Analysis and Visualization (SDAV) Institute,Cooperative Agreement,"Nowell, Lucille",Educational
SC-21.1,New,ER26072,DE-SC0007443,CALIFORNIA UNIV. OF DAVIS                        ,Davis,CA,95618,"Ma, Kwan-Liu",2125000,850000,2/15/12,2/14/17,1/20/12,Scalable Data Management Analysis and Visualization (SDAV) Institute,Cooperative Agreement,"Nowell, Lucille",Educational
SC-21.1,New,ER26073,DE-SC0007456,NORTHWESTERN UNIVERSITY                           ,Evanston,IL,60208-1110,"Choudhary, Alok",750000,300000,2/15/12,2/14/17,1/28/12,Scalable Data Management Analysis and Visualization (SDAV) Institute,Cooperative Agreement,"Nowell, Lucille",Educational
SC-21.1,New,ER26074,DE-SC0007445,NORTH CAROLINA STATE UNIVERSITY                   ,Raleigh,NC,27695-7514,"Samatova, Nagiza",750000,300000,2/15/12,2/14/17,1/19/12,Scalable Data Management Anlaysis and Visualization (SDAV) Institute,Cooperative Agreement,"Nowell, Lucille",Educational
SC-21.1,New,ER26075,DE-SC0007444,OHIO STATE UNIVERSITY                             ,Columbus,OH,43210-1063,"Shen, Han-Wei",750000,300000,2/15/12,2/14/17,1/19/12,Scalable Data-Management Analysis and Visualization (SDAV) Institute,Cooperative Agreement,"Nowell, Lucille",Educational
SC-21.1,New,ER26076,DE-SC0007434,GEORGIA TECH RESEARCH CORP                        ,Atlanta,GA,30332-0420,"Schwan, Karsten",625000,250000,2/15/12,2/14/17,1/11/12,Scalable Data Management Analysis and Visualization (SDAV) Institute,Cooperative Agreement,"Nowell, Lucille",Educational
SC-21.1,New,ER26077,DE-SC0007455,RUTGERS - STATE UNIV OF NJ NEW BRUNSWICK         ,New Brunswick,NJ,8901,"Parashar, Manish",625000,250000,2/15/12,2/14/17,1/28/12,Scalable Data Managements Anlaysis and Visualization (SDAV) Institute,Cooperative Agreement,"Nowell, Lucille",Educational
SC-27,New,ER30327,DE-SC0004058,AMERICAN INDIAN SCIENCE & ENG SOCIETY             ,Albuquerque,NM,87106-4313,"George, Maggie",447987,447987,5/15/10,5/14/13,8/10/10,AISES: Intertribal Middle School Science Bowl (IMSSB),Grant,"White, Cynthia",Not-For-Profit Business
SC-26.1,Renewal,ER40146,DE-FG02-84ER40146,SYRACUSE UNIVERSITY                               ,Syracuse,NY,13244-1200,"Souder, Paul",1259000,794000,4/1/11,3/31/14,5/24/11,Spin Dependent Phenomena in Medium Energy Physics,Grant,"Barnes, Frank",Educational
SC-25,Renewal,ER40153,DE-FG02-84ER40153,CINCINNATI UNIVERSITY OF                         ,Cincinnati,OH,45221-0222,"Wijewardhana, Rohana",2310000,1558000,1/1/11,12/31/13,5/2/11,Research in Particle Physics Task A and B,Grant,"Stone, Alan",Educational
SC-25,Renewal,ER40168,DE-FG02-84ER40168,SOUTHERN CALIFORNIA UNIV. OF                     ,Los Angeles,CA,90089-1147,"Warner, Nicholas",1065000,710000,3/1/11,2/28/14,4/20/11,Theoretical  Particle Physics,Grant,"Rolli, Simona",Educational
SC-25,Renewal,ER40226,DE-FG02-85ER40226,VANDERBILT UNIVERSITY                             ,Nashville,TN,37235-7749,"Weiler, Thomas",780000,520000,6/1/11,5/31/14,9/29/11,Theoretical Investigations in Elementary Particle Physics,Grant,"Chatterjee, Lali",Educational
SC-26.1,Renewal,ER40271,DE-FG02-86ER40271,CALIFORNIA UNIV. OF RIVERSIDE                    ,Riverside,CA,92521-0217,"Seto, Richard",1305000,480000,1/1/12,12/31/14,3/23/12,Quantifying the Strongly Interacting Quark Gluon Plasma - Heavy Ion Collisions at RHIC,Grant,"Sowinski, James",Educational
SC-26.1,Renewal,ER40281,DE-FG02-86ER40281,COLUMBIA UNIVERSITY                               ,New York,NY,10027-7922,"Zajc, William",1498000,749000,11/15/11,11/14/13,3/28/12,Jet and Heavy Flavor Probes of the Quark-Gluon Plasma,Grant,"Sowinski, James",Educational
SC-26.1,Renewal,ER40286,DE-FG02-86ER40286,IOWA UNIVERSITY OF                               ,Iowa City,IA,52242,"Polyzou, Wayne",390000,382000,6/1/10,5/31/13,6/16/10,Relativistic Few-Body Hadronic-Physics Calculations,Grant,"Fai, George",Educational
SC-26.1,Renewal,ER40315,DE-FG02-87ER40315,CARNEGIE MELLON UNIVERSITY                        ,Pittsburgh,PA,15213-3890,"Franklin, Gregg",3165000,2002000,12/1/10,11/30/13,1/25/11,Experimental Medium Energy Physics,Grant,"Barnes, Frank",Educational
SC-26.1,Renewal,ER40316,DE-FG02-87ER40316,WASHINGTON UNIVERSITY                             ,St. Louis,MO,63130-4899,"Sobotka, Lee",885000,585000,1/1/11,12/31/13,8/8/11,Studies of Complex Nuclear Decay in Heavy-Ion Reactions,Grant,"Baktash, Cyrus",Educational
SC-26.1,Renewal,ER40317,DE-FG02-87ER40317,NEW YORK STATE U. OF ST BROOK                    ,Stony Brook,NY,11794-3362,"Lattimer, James",670000,423000,12/1/10,11/30/13,1/10/11,Research in Nuclear Astrophysics: Supernovae and Neutron Stars,Grant,"Fai, George",Educational
SC-26.1,Renewal,ER40328,DE-FG02-87ER40328,MINNESOTA  REGENTS OF UNIV. OF                   ,Minneapolis,MN,55455-2070,"Kapusta, Joseph",1303000,837000,2/1/11,1/31/14,2/11/11,Research in Theoretical Nuclear Physics,Grant,"Fai, George",Educational
SC-26.1,Renewal,ER40331,DE-FG02-87ER40331,NEW YORK STATE U. OF ST BROOK                    ,Stony Brook,NY,11794-3362,"Lacey, Roy",1377000,888000,4/1/11,3/31/14,8/20/11,Nuclear Reaction Studies,Grant,"Sowinski, James",Educational
SC-26.1,Renewal,ER40344,DE-FG02-87ER40344,NORTHWESTERN UNIVERSITY                           ,Evanston,IL,60208-1110,"Seth, Kamal",982000,646000,12/1/10,11/30/13,4/8/11,Strong Interaction Studies with Medium Energy Probes,Grant,"Barnes, Frank",Educational
SC-26.1,Renewal,ER40365,DE-FG02-87ER40365,INDIANA UNIVERSITY BLOOMINGTON                   ,Bloomington,IN,47402-1847,"Horowitz, Charles",970000,640000,4/1/11,3/31/14,5/4/11,Theoretical Studies in Nuclear and Hadronic Physics,Grant,"Fai, George",Educational
SC-26.1,Renewal,ER40371,DE-FG02-87ER40371,IOWA STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY   ,Ames,IA,50011-2207,"Vary, James",970000,630000,6/15/11,6/14/14,9/19/11,Intermediate/High Energy Nuclear Physics,Grant,"Fai, George",Educational
SC-26.1,Renewal,ER40380,DE-FG02-87ER40380,HAMPTON UNIVERSITY                                ,Hampton,VA,23668,"Accardi, Alberto",146000,142000,4/1/10,3/31/13,8/27/10,The Hampton University Graduate Studies (HUGS) Summer Program at Jefferson Lab,Grant,"Barnes, Frank",Educational
SC-26.1,Renewal,ER40387,DE-FG02-88ER40387,OHIO UNIVERSITY                                   ,Athens,OH,45701-2979,"Brune, Carl",1080000,350000,12/1/11,11/30/14,5/16/12,Studies of Nuclear Astrophysics Structure and Reactions with Neutrons Radioactive Beams and Other Probes,Grant,"Baktash, Cyrus",Educational
SC-26.1,Renewal,ER40388,DE-FG02-88ER40388,NEW YORK STATE U. OF ST BROOK                    ,Stony Brook,NY,11794-3362,"Shuryak, Edward",2429000,713000,12/1/11,11/30/14,1/30/12,Research in Theoretical Nuclear Physics,Grant,"Fai, George",Educational
SC-26.1,Renewal,ER40406,DE-FG02-88ER40406,WASHINGTON UNIVERSITY                             ,St. Louis,MO,63130-4899,"Sarantites, Demetrios",1141000,371000,12/1/11,11/30/14,6/29/12,Investigations of Nuclear Structure and Nuclear Reactions,Grant,"Baktash, Cyrus",Educational
SC-26.1,Renewal,ER40410,DE-FG02-88ER40410,NEW HAMPSHIRE UNIVERSITY OF                      ,Durham,NH,03824-3585,"Holtrop, Maurik",1194000,394000,1/1/12,12/31/14,2/1/12,Electromagnetic Studies of Nucleon and Nuclear Structure,Grant,"Barnes, Frank",Educational
SC-26.1,Renewal,ER40412,DE-FG02-88ER40412,PURDUE UNIVERSITY                                 ,West Lafayette,IN,47907-2114,"Scharenberg, Rolf",2110000,700000,1/1/12,12/31/14,3/7/12,The Experimental Study of the Phase Structure of Strongly Interacting Matter,Grant,"Sowinski, James",Educational
SC-26.1,Renewal,ER40414,DE-FG02-88ER40414,ROCHESTER UNIVERSITY OF                          ,Rochester,NY,14627-0140,"Schroeder, W. Udo",1003000,627000,4/1/11,3/31/14,8/30/11,Studies of Heavy Ion Reactions and Transuranic Nuclei,Grant,"Baktash, Cyrus",Educational
SC-26.1,Renewal,ER40415,DE-FG02-88ER40415,MASSACHUSETTS UNIVERSITY OF AMHERST             ,Amherst,MA,1003,"Kumar, Krishna",1800000,662000,1/1/12,12/31/14,2/14/12,Precision Tests of QCD and Electroweak Interaction,Grant,"Barnes, Frank",Educational
SC-26.1,Renewal,ER40416,DE-FG02-88ER40416,LUTHERAN UNIVERSITY ASSOCIATION INC.             ,Valparaiso,IN,46383,"Stanislaus, Shirvel",560000,154000,1/16/12,1/15/15,3/21/12,Experimental Tests of the Standard Model for Particles and Nuclei,Grant,"Barnes, Frank",Educational
SC-26.1,Renewal,ER40424,DE-FG02-88ER40424,CALIFORNIA UNIV. OF LOS ANGELES                  ,Los Angeles,CA,90095-1406,"Huang, Huan",1577000,661000,2/1/12,1/31/15,3/13/12,UCLA Relativistic Heavy Ion Physics,Grant,"Sowinski, James",Educational
SC-26.1,Renewal,ER40479,DE-FG02-88ER40479,PENNSYLVANIA UNIVERSITY OF                       ,Philadelphia,PA,19104-6205,"Klein, Joshua",1854000,600000,1/1/12,12/31/14,4/27/12,The Low Energy Neutrino Physics Research Program at Penn,Grant,"Baktash, Cyrus",Educational
SC-26.1,Renewal,ER40525,DE-FG02-89ER40525,NORFOLK STATE UNIVERSITY                          ,Norfolk,VA,23504,"Punjabi, Vina",330000,320000,7/1/10,6/30/13,9/29/10,Polarization Experiments with Electromagnetic Probes,Grant,"Barnes, Frank",Educational
SC-26.1,Renewal,ER40530,DE-FG02-89ER40530,TENNESSEE TECH. UNIVERSITY                        ,Cookeville,TN,38505,"Ayik, Sakir",114000,113000,4/1/10,3/31/13,6/22/10,Studies of Fluctuation Processes in Nuclear Collisions,Grant,"Fai, George",Educational
SC-26.1,Renewal,ER40531,DE-FG02-89ER40531,KENT STATE UNIVERSITY                             ,Kent,OH,44242-0001,"Keane, Declan",1363000,449000,4/1/12,3/31/15,6/5/12,Heavy Ion Collisions Over a Range of Relativistic Energies,Grant,"Sowinski, James",Educational
SC-25,Renewal,ER40546,DE-FG02-90ER40546,CALIFORNIA UNIV. OF SAN DIEGO                    ,La Jolla,CA,92093-0934,"Kuti, Julius",5236500,6522100,7/1/10,6/30/13,7/15/10,Elementary Particle Physics,Grant,"Boehnlein, David",Educational
SC-25,Renewal,ER40617,DE-FG02-91ER40617,LOUISIANA STATE UNIVERSITY AND A&M COLLEGE        ,Baton Rouge,LA,70803-0001,"Matthews, James",1186000,1136000,7/1/10,3/31/13,9/4/10,Research in Elementary Particle Physics and Cosmic Ray Physics,Grant,"Bolton, Timothy",Educational
SC-25,Renewal,ER40618,DE-FG02-91ER40618,CALIFORNIA UNIV. OF SANTA BARBARA                ,Santa Barbara,CA,93106-2050,"Richman, Jeffrey",6726000,4722000,4/1/11,3/31/14,8/2/11,UCSB High Energy User Group,Grant,"Boehnlein, David",Educational
SC-25,Renewal,ER40622,DE-FG02-91ER40622,MISSISSIPPI UNIVERSITY OF                        ,University,MS,38677,"Cremaldi, Lucien",1340000,1242000,5/1/10,4/30/13,7/19/10,Experimental Study of Electroweak and Heavy Flavor Physics,Grant,"Boehnlein, David",Educational
SC-25,Renewal,ER40627,DE-FG02-91ER40627,TENNESSEE UNIVERSITY OF KNOXVILLE                ,Knoxville,TN,37996-1529,"Kamyshkov, Yuri",1800000,2117500,4/1/10,3/31/13,7/12/10,Elementary Particle Interactions,Grant,"Rosenberg, Eli",Educational
SC-25,Renewal,ER40628,DE-FG02-91ER40628,WASHINGTON UNIVERSITY                             ,St. Louis,MO,63130-4899,"Bender, Carl",2505000,1685000,4/1/11,3/31/14,6/6/11,Studies in Quantum Field Theory and Astroparticle Physics,Grant,"Turner, Kathleen",Educational
SC-25,Renewal,ER40635,DE-FG02-91ER40635,SMITHSONIAN ASTROPHYSICAL OBSERVATORY             ,Cambridge,MA,2138,"Benbow, Wystan",1460000,1460000,5/1/10,4/30/13,9/27/10,The Application of Two Dimensional Imaging to Very High Energy Gamma Ray Astronomy,Grant,"Turner, Kathleen",Not-For-Profit Business
SC-25,Renewal,ER40690,DE-FG02-91ER40690,OHIO STATE UNIVERSITY                             ,Columbus,OH,43210-1063,"Kass, Richard",5836000,3960066,12/1/10,11/30/13,3/17/11,Research in Elementary Particle Physics,Grant,"Boehnlein, David",Educational
SC-26.1,Renewal,ER40692,DE-FG02-92ER40692,IOWA STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY   ,Ames,IA,50011-2207,"Hill, John",1895000,1861000,11/15/09,11/14/12,4/3/10,Relativistic Heavy Ion Physics,Grant,"Sowinski, James",Educational
SC-25,Renewal,ER40699,DE-FG02-92ER40699,COLUMBIA UNIVERSITY                               ,New York,NY,10027-7922,"Christ, Norman",5171625,3171625,12/1/10,11/30/13,2/17/11,Theoretical High Energy Physics,Grant,"Rolli, Simona",Educational
SC-25,Renewal,ER40701,DE-FG02-92ER40701,CALIFORNIA INST. OF TECHNOLOGY                    ,Pasadena,CA,91125,"Wise, Mark",11751000,8045000,11/1/10,10/31/13,2/4/11,High Energy Physics,Grant,"Stone, Alan",Educational
SC-25,Renewal,ER40704,DE-FG02-92ER40704,YALE UNIVERSITY                                   ,New Haven,CT,06520-8337,"Tipton, Paul",6190000,4250000,11/1/10,10/31/13,3/14/11,High Energy Physics Research Tasks A B C D F G K and J,Grant,"Stone, James",Educational
SC-25,Renewal,ER40711,DE-FG02-92ER40711,SAN FRANCISCO STATE UNIVERSITY                    ,San Francisco,CA,94132,"Greensite, Jeffrey",420000,280000,2/1/11,1/31/14,7/28/11,Research in Theoretical High Energy Physics,Grant,"Chatterjee, Lali",Educational
SC-26.1,Renewal,ER40713,DE-FG02-92ER40713,WAYNE STATE UNIVERSITY                            ,Detroit,MI,48201-3622,"Cormier, Thomas",1875000,1265000,5/1/11,4/30/14,9/1/11,Relativistic Heavy Ion Research,Grant,"Sowinski, James",Educational
SC-25,Renewal,ER40727,DE-FG02-92ER40727,CALIFORNIA UNIV. OF LOS ANGELES                  ,Los Angeles,CA,90095-1406,"Joshi, Chan",4135000,4380000,6/1/10,5/31/13,7/21/10,Experimental Theoretical and Computational Studies of Plasma-Based Concepts for Future High Energy Accelerators,Grant,"Len, Lek",Educational
SC-26.1,Renewal,ER40735,DE-FG02-92ER40735,FLORIDA STATE UNIVERSITY                          ,Tallahassee,FL,32306-4166,"Eugenio, Paul",979000,628000,11/1/10,10/31/13,1/12/11,Experimental Hadronic Nuclear Physics,Grant,"Barnes, Frank",Educational
SC-25,No-Cost Extension,ER40745,DE-FG02-92ER40745,SOUTHERN CALIFORNIA UNIV. OF                     ,Los Angeles,CA,90089-1147,"Muggli, Patric",0,0,11/15/10,11/14/13,12/7/11,Program for Plasma-Based Concepts for Future High Energy Accelerators,Grant,"Len, Lek",Educational
SC-26.1,Renewal,ER40750,DE-FG02-92ER40750,FLORIDA STATE UNIVERSITY                          ,Tallahassee,FL,32306-4166,"Piekarewicz, Jorge",774000,747000,3/15/10,3/14/13,7/22/10,From Quarks to the Cosmos,Grant,"Fai, George",Educational
SC-26.1,Renewal,ER40756,DE-FG02-93ER40756,OHIO UNIVERSITY                                   ,Athens,OH,45701-2979,"Elster, Charlotte",1094000,711000,11/1/10,10/31/13,1/6/11,Nuclear Dynamics and Astrophysics in Few- and Many-Body Systems,Grant,"Fai, George",Educational
SC-26.1,Renewal,ER40762,DE-FG02-93ER40762,MARYLAND UNIVERSITY OF COLLEGE PARK              ,College Park,MD,20742-5141,"Cohen, Thomas",2278000,1462000,12/1/10,11/30/13,1/3/11,Theoretical Studies in Hadronic and Nuclear Physics,Grant,"Fai, George",Educational
SC-26.1,Renewal,ER40764,DE-FG02-93ER40764,COLUMBIA UNIVERSITY                               ,New York,NY,10027-7922,"Gyulassy, Miklos",895000,575000,12/15/10,12/14/13,1/14/11,Theory of Ultra-Dense Matter and the Dynamics of High Energy Interactions Involving Nuclei,Grant,"Fai, George",Educational
SC-26.1,Renewal,ER40771,DE-FG02-93ER40771,PENNSYLVANIA STATE UNIVERSITY                     ,University Park,PA,16802-7000,"Strikman, Mark",485000,305000,1/1/11,12/31/13,3/11/11,Theoretical Studies in High Energy Nuclear Physics,Grant,"Fai, George",Educational
SC-26.1,Renewal,ER40773,DE-FG02-93ER40773,TEXAS A&M UNIVERSITY COLLEGE STATION             ,College Station,TX,77843-3121,"Tribble, Robert",9970000,6410000,1/1/11,12/31/13,8/19/11,Texas A&M University Cyclotron Institute Research Plan,Grant,"Baktash, Cyrus",Educational
SC-25,Renewal,ER40788,DE-FG02-93ER40788,COLORADO STATE UNIVERSITY                         ,Fort Collins,CO,80523-2002,"Toki, Walter",2475000,1725000,12/15/10,12/14/13,5/5/11,Research in High Energy Physics,Grant,"Stone, Alan",Educational
SC-26.1,Renewal,ER40789,DE-FG02-93ER40789,COLORADO SCHOOL OF MINES                          ,Golden,CO,80401,"Sarazin, Frederic",842000,576000,4/1/11,3/31/14,8/8/11,Nuclear Structure and Astrophysics with Unstable Beams,Grant,"Baktash, Cyrus",Educational
SC-26.1,Renewal,ER40802,DE-FG02-93ER40802,MARYLAND UNIVERSITY OF COLLEGE PARK              ,College Park,MD,20742-5141,"Mignerey, Alice",835000,275000,5/1/12,4/30/15,6/21/12,Reaction Mechanism Studies of Heavy-Ion Induced Nuclear Reactions,Grant,"Sowinski, James",Educational
SC-26.1,Renewal,ER40818,DE-FG02-94ER40818,MASSACHUSETTS INST. OF TECH.                      ,Cambridge,MA,02139-4307,"Milner, Richard",23020000,16045000,11/1/10,10/31/13,3/17/11,Research in Nuclear Physics,Grant,"Barnes, Frank",Educational
SC-26.1,Renewal,ER40821,DE-FG02-94ER40821,NEW MEXICO UNIVERSITY OF                         ,Albuquerque,NM,87131-0001,"Bassalleck, Bernd",1025000,325000,12/1/11,11/30/14,1/26/12,Strange Particles and Heavy Ion Physics,Grant,"Barnes, Frank",Educational
SC-25,Renewal,ER40823,DE-FG02-94ER40823,MINNESOTA  REGENTS OF UNIV. OF                   ,Minneapolis,MN,55455-2070,"Rusack, Roger",4960000,3294000,11/1/10,10/31/13,3/8/11,Experimental and Theoretical High Energy Physics,Grant,"Stone, Alan",Educational
SC-26.1,No-Cost Extension,ER40828,DE-AI02-94ER40828,NATIONAL INST OF STANDARDS & TECH GAITHERSBURG   ,Gaithersburg,MD,20899,"Arif, Muhammad",0,0,4/1/09,3/31/13,3/28/12,Nuclear Data Verification and Standardization,Interagency Agreement,"Barnes, Frank",Governmental Organization
SC-26.1,Renewal,ER40844,DE-FG02-94ER40844,TEMPLE UNIVERSITY                                 ,Philadelphia,PA,19122,"Meziani, Zein-Eddine",979000,323000,4/1/12,3/31/15,3/15/12,Nuclear Research Using the Electromagnetic Probe,Grant,"Barnes, Frank",Educational
SC-26.1,Renewal,ER40845,DE-FG02-94ER40845,TEXAS UNIVERSITY OF                              ,Austin,TX,78712-1500,"Hoffmann, Gerald",2125000,700000,4/1/12,3/31/15,4/6/12,Studies in High Energy Heavy Ion Nuclear Physics,Grant,"Sowinski, James",Educational
SC-26.1,Renewal,ER40847,DE-FG02-94ER40847,NEW MEXICO STATE UNIVERSITY LAS CRUCES           ,Las Cruces,NM,88003-8001,"Pate, Stephen",1329000,422000,4/1/12,3/31/15,7/31/12,Experimental Studies of Quark-Gluon Structure of Nucleons and Nuclei,Grant,"Barnes, Frank",Educational
SC-26.1,Renewal,ER40848,DE-FG02-94ER40848,MASSACHUSETTS UNIVERSITY OF LOWELL               ,Lowell,MA,1854,"Chowdhury, Partha",697000,578000,4/1/11,3/31/14,9/11/11,Single-Particle and Collective Phenomena in Nuclei,Grant,"Baktash, Cyrus",Educational
SC-25,Renewal,ER40855,DE-FG02-94ER40855,MARYLAND UNIVERSITY OF COLLEGE PARK              ,College Park,MD,20742-5141,"Kishek, Rami",2470000,2582600,7/1/10,6/30/13,7/29/10,Accelerator Research Studies,Grant,"Len, Lek",Educational
SC-26.1,Renewal,ER40865,DE-FG02-94ER40865,ILLINOIS UNIVERSITY OF CHICAGO                   ,Chicago,IL,60612-7227,"Hofman, David",1485000,1507000,5/15/10,5/14/13,9/8/10,Heavy Ion Nuclear Physics Research at the University of Illinois at Chicago,Grant,"Sowinski, James",Educational
SC-26.1,Renewal,ER40870,DE-FG02-94ER40870,CONNECTICUT UNIVERSITY OF                        ,Storrs,CT,06269-1133,"Gai, Moshe",541000,514000,4/15/10,4/14/13,9/16/10,Studies in Low Energy Nuclear Physics,Grant,"Baktash, Cyrus",Educational
SC-25,Renewal,ER40896,DE-FG02-95ER40896,WISCONSIN UNIVERSITY OF MADISON                  ,Madison,WI,53715-1218,"Smith, Wesley",10873177,7300177,11/1/10,10/31/13,8/1/11,High Energy Physics Research: Experimental Theoretical Phenomenology Mathematical,Grant,"Rosenberg, Eli",Educational
SC-25,Renewal,ER40910,DE-FG02-95ER40910,SOUTH CAROLINA UNIVERSITY OF RES FOUND           ,Columbia,SC,29208,"Rosenfeld, Carl",1977000,2019404,6/1/10,5/31/13,8/16/10,Experimental Particle Physics,Grant,"Boehnlein, David",Educational
SC-25,Renewal,ER40917,DE-FG02-95ER40917,TEXAS A&M RESEARCH FOUNDATION                     ,College Station,TX,77845,"Webb, Robert",3077800,3393800,5/1/10,4/30/13,8/10/10,High Energy Physics Research at Texas A&M University,Grant,"Stone, Alan",Not-For-Profit Business
SC-25,Renewal,ER40919,DE-FG02-95ER40919,MASSACHUSETTS INST. OF TECH.                      ,Cambridge,MA,02139-4307,"Chen, Chiping",687000,605119,4/1/10,3/31/13,7/20/10,Theoretical and Computational Investigation of Periodically Focused Intense Charged Particle Beams,Grant,"Len, Lek",Educational
SC-26.1,Renewal,ER40934,DE-FG02-95ER40934,NOTRE DAME UNIVERSITY OF                         ,Notre Dame,IN,46556-5602,"Mathews, Grant",570000,577000,6/15/10,6/14/13,9/14/10,Nuclear Properties at Extreme Density Temperature Spin and Isospin,Grant,"Fai, George",Educational
SC-26.1,Renewal,ER40939,DE-FG02-95ER40939,MISSISSIPPI STATE UNIVERSITY                      ,Mississippi State,MS,39762-6156,"Ma, Wenchao",494000,494000,5/1/10,4/30/13,8/31/10,Experimental Nuclear Structure Studies,Grant,"Baktash, Cyrus",Educational
SC-25,Renewal,ER40943,DE-FG02-96ER40943,TEXAS UNIVERSITY OF  ARLINGTON                   ,Arlington,TX,76010,"White, Andrew",1820000,1230000,2/1/11,1/31/14,9/7/11,Research in Experimental Elementary Particle Physics,Grant,"Boehnlein, David",Educational
SC-26.1,Renewal,ER40950,DE-FG02-96ER40950,VIRGINIA UNIVERSITY OF                           ,Charlottesville,VA,22904-4195,"Day, Donal",2145000,1420000,12/1/10,11/30/13,5/2/11,Electron Interactions with Nuclei,Grant,"Barnes, Frank",Educational
SC-25,Renewal,ER40952,DE-FG02-96ER40952,FLORIDA STATE UNIVERSITY                          ,Tallahassee,FL,32306-4166,"Van Sciver, Steven",690000,439000,2/1/11,1/31/14,8/31/11,Liquid Helium Fluid Dynamics Studies,Grant,"Marken, Kenneth",Educational
SC-25,Renewal,ER40954,DE-FG02-96ER40954,TEXAS UNIVERSITY OF                              ,Austin,TX,78712-1500,"Downer, Michael",920000,608000,1/15/11,1/14/14,6/7/11,Laser Wakefield Acceleration: Channeling Seeding and Diagnostics,Grant,"Len, Lek",Educational
SC-26.1,Renewal,ER40955,DE-FG02-96ER40955,TENNESSEE TECH. UNIVERSITY                        ,Cookeville,TN,38505,"Kozub, Raymond",186000,122000,3/1/11,2/28/14,8/18/11,Nuclear Physics with Radioactive Ion Beams,Grant,"Baktash, Cyrus",Educational
SC-25,Renewal,ER40956,DE-FG02-96ER40956,WASHINGTON UNIV OF SEATTLE                      ,Seattle,WA,98105-4683,"Nelson, Ann",3709000,2760500,4/1/11,3/31/14,6/6/11,Theoretical and Experimental Particle Physics,Grant,"Salamon, Michael",Educational
SC-26.1,Renewal,ER40960,DE-FG02-96ER40960,OLD DOMINION UNIVERSITY RESEARCH FOUND.           ,Norfolk,VA,23508-2561,"Hyde, Charles",2340000,1482000,3/15/11,3/14/14,5/11/11,From Quarks to Nuclei,Grant,"Barnes, Frank",Not-For-Profit Business
SC-26.1,Renewal,ER40963,DE-FG02-96ER40963,TENNESSEE UNIVERSITY OF KNOXVILLE                ,Knoxville,TN,37996-1529,"Nazarewicz, Witold (Witek)",773000,510000,2/15/11,2/14/14,1/27/11,Theoretical Nuclear Structure,Grant,"Fai, George",Educational
SC-26.1,Renewal,ER40965,DE-FG02-96ER40965,NEW MEXICO STATE UNIVERSITY LAS CRUCES           ,Las Cruces,NM,88003-8001,"Burkardt, Matthias",455000,300000,4/1/11,3/31/14,4/7/11,Quark Gluon Structure of Hadrons in QCD,Grant,"Fai, George",Educational
SC-25,Renewal,ER40967,DE-FG02-96ER40967,ALABAMA UNIVERSITY OF TUSCALOOSA                 ,Tuscaloosa,AL,35487-0104,"Busenitz, Jerome",1110000,750000,4/15/11,4/14/14,9/26/11,Research in Neutrino Physics,Grant,"Salamon, Michael",Educational
